"query","ground truth answer","video","time"
"What is the typical resting membrane potential of an axon?","It is around -70 millivolts.","Action Potential","00:00:55"
"What voltage threshold must be reached for an action potential to occur?","The threshold is -55 millivolts.","Action Potential","00:01:17"
"What ions rush into the cell during the depolarization phase of an action potential?","Sodium ions rush into the cell.","Action Potential","00:03:02"
"Why is the shoulder joint considered highly unstable despite being the most flexible?","Because it is a ball and socket joint with extreme flexibility at the cost of stability.","Anatomy and Physiology Chapter 10 Part D Lecture： The Muscular System","00:01:12"
"Which four muscles make up the rotator cuff?","The supraspinatus, infraspinatus, teres minor, and subscapularis.","Anatomy and Physiology Chapter 10 Part D Lecture： The Muscular System","00:01:52"
"Where is a common site for administering intramuscular injections, especially in men?","The deltoid muscle.","Anatomy and Physiology Chapter 10 Part D Lecture： The Muscular System","00:04:05"
"What three components make up the cardiovascular system?","The heart, blood vessels, and blood.","Anatomy and Physiology Chapter 18 Part A lecture： The Cardiovascular System","00:01:43"
"What is the difference between the pulmonary and systemic circuits of the heart?","The pulmonary circuit pumps blood to the lungs, while the systemic circuit pumps blood to the rest of the body.","Anatomy and Physiology Chapter 18 Part A lecture： The Cardiovascular System","00:03:48"
"Where specifically is the heart located in the chest?","In the mediastinum, between the second rib and the fifth intercostal space.","Anatomy and Physiology Chapter 18 Part A lecture： The Cardiovascular System","00:08:51"
"What are the three types of cartilage found in the human body?","Hyaline, elastic, and fibrocartilage.","Anatomy and Physiology Chapter 6 Part A： Bones and Skeletal Tissue Lecture","00:01:12"
"What process refers to blood cell formation within the red bone marrow?","Hematopoiesis.","Anatomy and Physiology Chapter 6 Part A： Bones and Skeletal Tissue Lecture","00:06:53"
"How many named bones does an adult human typically have?","206 bones.","Anatomy and Physiology Chapter 6 Part A： Bones and Skeletal Tissue Lecture","00:07:43"
"Which bones form the pectoral (shoulder) girdle?","The clavicles and the scapulae.","Anatomy and Physiology Chapter 7 Part C Lecture： The Skelton","00:01:13"
"What is the anatomical term for the shoulder blade?","Scapula.","Anatomy and Physiology Chapter 7 Part C Lecture： The Skelton","00:01:21"
"In the forearm, which bone is located on the same side as the thumb?","The radius.","Anatomy and Physiology Chapter 7 Part C Lecture： The Skelton","00:13:43"
"What are the three structural classifications of joints?","Fibrous, cartilaginous, and synovial joints.","Anatomy & Physiology Chapter 8 Lecture Part A ： Joints","00:01:36"
"How is a synarthrotic joint defined in terms of movement?","It is a joint where there is literally no movement at all.","Anatomy & Physiology Chapter 8 Lecture Part A ： Joints","00:01:53"
"What is the primary function of synovial fluid in a joint?","It provides a slippery weight-bearing film that reduces friction between the cartilage and lubricates the joint.","Anatomy & Physiology Chapter 8 Lecture Part A ： Joints","00:14:18"
"What are the four different kinds of teeth found in humans?","Incisors, canines, premolars, and molars.","Basic Dental Terminology - UPDATED","00:02:00"
"How many teeth are in the primary dentition (baby teeth) and permanent dentition (adult teeth)?","20 baby teeth and 32 adult teeth.","Basic Dental Terminology - UPDATED","00:04:02"
"What is the hardest tissue in the human body?","Enamel.","Basic Dental Terminology - UPDATED","00:15:55"
"What do the 'H' and 'N' stand for in flu strains like H1N1?","Hemagglutinin and Neuraminidase.","Chapter 25 The RNA Viruses of Medical Importance","00:07:22"
"What is the difference between antigenic drift and antigenic shift in influenza viruses?","Antigenic drift is a constant, gradual mutation, while antigenic shift is the recombination of RNA segments between two or more different strains.","Chapter 25 The RNA Viruses of Medical Importance","00:11:50"
"What are the four clinical phases of a rabies infection?","Prodromal phase, furious phase, dumb phase, and coma phase.","Chapter 25 The RNA Viruses of Medical Importance","00:33:34"
"How do marine (saltwater) fish and freshwater fish differ in their water intake?","Marine fish constantly drink sea water to counter water loss, while freshwater fish basically do not drink water because it enters their bodies through osmosis.","Chapter 32   Excretion System","00:06:18"
"What are the three primary types of nitrogenous waste excreted by different animals?","Ammonia, urea, and uric acid.","Chapter 32   Excretion System","00:10:01"
"What is the basic functional unit of the mammalian kidney?","The nephron.","Chapter 32   Excretion System","00:19:33"
"What are the four stages of food processing in animals?","Ingestion, digestion, absorption, and elimination.","Chapter 33   Animal Nutrition and Digestion","00:09:20"
"What is the role of peristalsis in the digestive system?","It is the rhythmic contractions of smooth muscles that move food down the esophagus to the stomach.","Chapter 33   Animal Nutrition and Digestion","00:21:07"
"Where in the digestive tract does most nutrient absorption take place?","In the small intestine, specifically aided by the villi and microvilli.","Chapter 33   Animal Nutrition and Digestion","00:25:41"
"What characterizes innate immunity in terms of when it is acquired?","Innate immunity is something an organism is born with and is active immediately upon infection, rather than being developed over time.","Chapter 35   Innate Immunity","00:01:17"
"What are some examples of the first line of defense in innate immunity?","Examples include physical barriers like the skin and mucous membranes, and chemical secretions such as tears, saliva, and sweat.","Chapter 35   Innate Immunity","00:04:54"
"What are the four classical signs of the inflammatory response?","The four classical signs are heat, redness, swelling, and pain.","Chapter 35   Innate Immunity","00:20:41"
"What are the two main divisions of the vertebrate nervous system?","The two main divisions are the central nervous system (brain and spinal cord) and the peripheral nervous system (nerves and ganglia outside the central system).","Chapter 38   Nervous System","00:00:11"
"What part of the brain is primarily responsible for decision-making, planning, and thinking?","The frontal lobe is responsible for these cognitive functions.","Chapter 38   Nervous System","00:39:42"
"What term describes the brain's ability to rearrange its nerve cells and connections?","This ability is known as neuroplasticity.","Chapter 38   Nervous System","00:01:53"
"What is the primary purpose of genetically modifying golden rice?","Golden rice is modified to be rich in beta-carotene, which is essential for synthesizing vitamin A, thereby helping to prevent vitamin A deficiency and related health issues like blindness.","CurrentTopicsLecture10Ch10","00:01:39"
"How do scientists use bacteria as \"factories\" to produce specific proteins like bovine growth hormone?","Scientists insert the desired gene into a bacterial plasmid; as the bacteria replicate, they produce many copies of the gene and its protein product.","CurrentTopicsLecture10Ch10","00:32:50"
"What are the two main components of the CRISPR gene-editing system?","The two main components are a guide that locates the specific DNA sequence to be edited and an enzyme that acts as molecular scissors to cut the DNA.","CurrentTopicsLecture10Ch10","00:51:18"
"What is the difference between macronutrients and micronutrients?","Macronutrients (water, carbs, proteins, fats) are needed in large amounts for structure and energy, while micronutrients (vitamins, minerals) are needed in smaller quantities and are not burned for energy.","CurrentTopicsLecture3Ch3","00:03:38"
"Why are complex carbohydrates digested more slowly than simple sugars?","Complex carbohydrates have more chemical bonds that need to be broken down during digestion, leading to a slower release into the bloodstream.","CurrentTopicsLecture3Ch3","00:12:34"
"Which vitamin is the only one the human body can synthesize on its own, and what is required for this process?","The body can synthesize Vitamin D, but it requires sunlight to complete the process.","CurrentTopicsLecture3Ch3","00:29:30"
"What is the greenhouse effect and why is it naturally beneficial?","The greenhouse effect occurs when atmospheric gases trap solar energy; it is naturally beneficial because it prevents too much heat from escaping into space, keeping Earth warm enough to support life.","CurrentTopicsLecture5Ch5","00:07:02"
"Which gas is considered the most important greenhouse gas to control due to its abundance from fossil fuel combustion?","Carbon dioxide (CO2) is the most important greenhouse gas to control.","CurrentTopicsLecture5Ch5","00:06:22"
"What are the two main steps of photosynthesis and where do they occur?","The two steps are the light reactions, which occur in the thylakoids, and the light-independent reactions (Calvin cycle), which occur in the stroma.","CurrentTopicsLecture5Ch5","00:24:23"
"How does the timing of the growth spurt typically differ between adolescent girls and boys?","Girls usually hit their growth peak around age 12, which is about two years earlier than boys, who typically peak around age 13 or 14.","Developmental Psychology - Cognitive Development of Adolescence - CH8","00:01:22"
"What is \"synaptic pruning\" in the context of adolescent brain development?","Synaptic pruning is the process where the brain eliminates unused or redundant neural connections to allow for more specialized information processing.","Developmental Psychology - Cognitive Development of Adolescence - CH8","00:02:47"
"According to Kohlberg, what characterizes the \"pre-conventional\" level of moral reasoning?","The pre-conventional level is characterized by making moral decisions based on the avoidance of punishment and the pursuit of rewards.","Developmental Psychology - Cognitive Development of Adolescence - CH8","00:27:19"
"How is \"average life expectancy\" defined in demographics?","It is defined as the age at which half of the individuals born in a particular year are still alive.","Developmental Psychology - Cognitive Later In Life - CH14","00:04:44"
"What are two physiological markers in the brain often associated with aging and Alzheimer's disease?","The two markers are the buildup of plaques and neurofibrillary tangles.","Developmental Psychology - Cognitive Later In Life - CH14","00:10:28"
